"No.","Time","Source","Destination","Protocol","Length","Info"
"1694","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=356977 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1695","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=357513 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1696","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=357513 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1697","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=358049 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1698","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=358049 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1699","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=358585 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1700","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=358585 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1701","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=359121 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1702","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=359121 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1703","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=359657 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1704","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=359657 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1705","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=360193 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1706","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=360193 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1707","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=360729 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1708","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=360729 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1709","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=361265 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1710","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=361265 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1711","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=361801 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1712","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=361801 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1713","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=362337 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1714","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=362337 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1715","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=362873 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1716","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=362873 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1717","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=363409 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1718","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=363409 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1719","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=363945 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1720","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=363945 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1721","0.040000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=313561 Win=65392 Len=0"
"1722","0.040000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=313561 Win=65392 Len=0"
"1723","0.040000","49.44.80.47","116.50.76.245","SSLv2","590","Encrypted Data [TCP segment of a reassembled PDU]"
"1724","0.040000","49.44.80.47","10.64.43.166","SSLv2","590","Encrypted Data [TCP segment of a reassembled PDU]"
"1725","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=365017 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1726","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=365017 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1727","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=365553 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1728","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=365553 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1729","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=366089 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1730","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=366089 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1731","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=366625 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1732","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=366625 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1733","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=367161 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1734","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=367161 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1735","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=367697 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1736","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=367697 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1737","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=368233 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1738","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=368233 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1739","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=368769 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1740","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=368769 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1741","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=369305 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1742","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=369305 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1743","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=369841 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1744","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=369841 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1745","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=370377 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1746","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=370377 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1747","0.040000","49.44.80.47","116.50.76.245","SSLv2","590","Encrypted Data [TCP segment of a reassembled PDU]"
"1748","0.040000","49.44.80.47","10.64.43.166","SSLv2","590","Encrypted Data [TCP segment of a reassembled PDU]"
"1749","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=371449 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1750","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=371449 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1751","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=371985 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1752","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=371985 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1753","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=372521 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1754","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=372521 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1755","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=373057 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1756","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=373057 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1757","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=373593 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1758","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=373593 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1759","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=374129 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1760","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=374129 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1761","0.040000","49.44.80.47","116.50.76.245","TCP","590","443  >  64435 [ACK] Seq=374665 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
"1762","0.040000","49.44.80.47","10.64.43.166","TCP","590","443  >  64435 [ACK] Seq=374665 Ack=1 Win=49312 Len=536 [TCP segment of a reassembled PDU]"
